tipo_elem;distrito;id;cod_cent;nombre;x;y;longitud;latitud
URB;0.0;3844;01005;(AFOROS) Pº Castellana S-N  - Eduardo Dato - Pl,Emilio Castelar;441605,765071902;4476132,13924728;-3.6884696784581394;40.433782055899705
URB;0.0;3852;01030;Pº Castellana S-N - Pl, Colon-Ayala;441454,558170417;4475270,02564628;-3.690172888467694;40.42600509594223
URB;0.0;7026;01301;(MICRO) Pº Recoletos  N-S - Pl, Colon-Barbara Braganza;441404,68126178;4475071,23352072;-3.690742510325929;40.424210769059144
URB;0.0;7011;01302;(MICRO) Pl, Colon  (Delante Gr, 6) - (MICRO) Pl, Colon  (Delante Gr, 6);441437,116590312;4475217,1832378;-3.6903736200956976;40.425527838450975
URB;0.0;5569;61058;Pº de la Habana S-N - Ntra,Sra,de Lujan-Honduras;442216,801870671;4478947,80696644;-3.6815221843258215;40.45918958195347
URB;0.0;5574;61063;Pº de la Habana S-N - Veracruz-Alberto Alcocer;442206,430872108;4478789,59317532;-3.6816300914634934;40.457763600009535
URB;0.0;5575;61064;Alberto Alcocer E-O - Victor Andres Belaunde-Pº de la Habana;442274,973366691;4478890,30582462;-3.6808308990163363;40.458675628838684
URB;0.0;5578;61067;Potosi O-E - Pº de la Habana-Ramiro Giron;442276,340707404;4478645,84834096;-3.6807925436612337;40.45647354054691
URB;0.0;6980;61071;Alberto Alcocer E-O - Bolivia-Victor Andres Belaunde;442501,535397767;4478898,3992528;-3.678159651215897;40.45876424532293
URB;0.0;3842;01003;Pº Recoletos N-S - Almirante-Prim;441319,371258338;4474841,15423716;-3.6917268734524376;40.422132090994985
URB;0.0;4829;26020;AV,ANDALUCIA S-N(AV,ROSALES-AV,POBLADOS);441061,700817064;4468950,45402688;-3.694218840093922;40.369047376396885
URB;0.0;3802;26021;AV,ANDALUCIA N-S(AV,POBLADOS-AV,ROSALES);441035,584824288;4469083,22190818;-3.694538710558879;40.37024157729744
URB;0.0;7029;01012; Pº Recoletos  N-S -  (PL, Colon-Barbara Braganza);441401,492637174;4475072,29327272;-3.6907801940462748;40.42422009124795
URB;0.0;3665;71002;C/, Alcala - Electra-Av, Canillejas a Vicalvaro;447551,220512345;4477129,58933159;-3.6184590142498196;40.443163852942895
URB;0.0;4545;32004;(MICRO) CAPITAN BLANCO ARGIBAY O-E(P: DIRECCISN-P,CEBRERO);439756,303279783;4480157,24608054;-3.7106552086869433;40.46990993769113
URB;0.0;4554;32012;RIBADAVIA E-O(CHANTADA-AV, BETANZOS);439730,169156693;4480416,48746317;-3.7109881035239605;40.47224338478517
URB;0.0;4695;90010;RONDA DE SEGOVIA S-N(GIL IMSN -ALGECIRAS);439121,690757626;4473513,81979333;-3.717504195909493;40.41001698006809
URB;0.0;3568;24017;V,CARPETANA ENTRE LAGUNA-N,S,VALVANERA  O-E;437065,813088681;4471582,96522897;-3.7415417350426243;40.392470137919986
URB;0.0;4762;24029;SEPULVEDA FRENTE Nº 119  E-O;436667,181316283;4472904,64861317;-3.746369836018256;40.40434619551228
URB;0.0;4827;26018;AV,ROSALES E-O(AV,ANDALUCIA-EDUARDO BARREIROS);441022,002868574;4468940,95481982;-3.6946855206764178;40.36895899452851
URB;0.0;4828;26019;AV, VERBENA PALOMA O-E (PAN Y TOROS-AV, ANDALUCIA);441017,676412744;4468043,31305704;-3.6946534576546277;40.36087222014599
URB;0.0;4318;16047;(TACTICO) Salida Jardines Palacio Real - ;439283,72279379;4474626,73813939;-3.715700869595359;40.42005448431289
